job_sub_code,job_sub_category
N01,PC/오락/당구/볼링 등
N02,경마/경륜/성인오락
N03,놀이/여가/취미
N04,무도/유흥/가무
N05,스포츠/운동
N06,연극/영화/극장
N07,요가/단전/마사지
L01,부동산중개
L02,평가/개발/관리
L03,분양
F01,개인/가정용품수리
F02,개인서비스
F03,광고/인쇄
F04,기타서비스업
F05,대중목욕탕/휴게
F06,대행업
F07,물품기기대여
F08,법무세무회계
F09,사진
F10,세탁/가사서비스
F11,예식/의례/관혼상제
F12,운송/배달/택배
F13,이/미용/건강
F14,인력/고용/용역알선
F15,자동차/이륜차
F16,장례/묘지
F17,주유소/충전소
F18,주택수리
F19,행사/이벤트
D01,가구소매
D02,가방/신발/액세서리
D03,가전제품소매
D04,가정/주방/인테리어
D05,건강/미용식품
D06,기타판매업
D07,사무/문구/컴퓨터
D08,사진/광학/정밀기기소매
D09,선물/팬시/기념품
D10,시계/귀금속소매
D11,애견/애완/동물
D12,예술품/골동품/수석/분재
D13,운동/경기용품소매
D14,유아용품
D15,음/식료품소매
D16,의복/의류
D17,의약/의료품소매
D18,자동자/자동차용품
D19,종교용품판매
D20,종합소매점
D21,중고품소매/교환
D22,책/서적/도서
D23,철물/난방/건설자재소매
D24,취미/오락관련소매
D25,페인트/유리제품소매
D26,화장품소매
O01,모텔/여관/여인숙
O02,민박/하숙
O03,유스호스텔
O04,캠프/별장/펜션
O05,호텔/콘도
P01,실내운동시설
P02,실외운동시설
P03,운영관리시설
Q01,기타음식업
Q02,닭/오리요리
Q03,별식/퓨전요리
Q04,부페
Q05,분식
Q06,양식
Q07,유흥주점
Q08,음식배달서비스
Q09,일식/수산물
Q10,제과제빵떡케익
Q11,중식
Q12,커피점/카페
Q13,패스트푸드
Q14,한식
R01,도서관/독서실
R02,유아교육
R03,학문교육기타
R04,학원기타
R05,학원-보습교습입시
R06,학원-어학
R07,학원-예능취미체육
R08,학원-음악미술무용
R09,학원-자격/국가고시
R10,학원-창업취업취미
R11,학원-컴퓨터
